,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
HUM,S&P; 500,22.90,12.08,0.20%,137.83M,-2.75%,38.13B,15.86,17.45,-17.83%,136.78M,-17.05%,1.68B,1.42,2.53,95.80%,2.60%,-16.84%,55.93B,0.68,335.80%,-0.45%,3.65,-9.65%,76.92,3.60,20.88%,4.90%,381.20,10.08%,30.05,9.20,16.08%,14.90%,252.86 - 355.88,-3.44%,2.00,-,18.90%,18.90%,-22.27%,1.11,0.72%,-,6.60%,-,9.40%,10.14,45900,-,7.00%,4.20%,38.13,3.00% 3.58%,Yes,0.51,40.90%,2.70%,1.74,269.70,Yes,0.45,Feb 06 BMO,16.50%,972.84K,276.62,1.90,-5.83%,-11.25%,-10.59%,"1,697,201",2.57%
IBM,DJIA S&P500;,9.58,12.25,0.10%,937.27M,3.11%,109.96B,8.43,13.91,0.85%,907.89M,-6.38%,11.29B,9.98,4.85,59.50%,1.59%,-23.43%,80.37B,1.37,-3.30%,1.94%,1.98,-17.05%,21.71,5.40,0.81%,4.60%,149.58,-25.98%,15.48,7.58,0.96%,30.90%,105.94 - 171.13,3.21%,6.28,10.30,-4.00%,17.40%,-31.44%,1.07,5.35%,1.30,-5.10%,46.20%,10.74%,3.40,366600,1.30,-2.10%,14.20%,52.65,2.44% 3.06%,Yes,2.37,0.70%,7.10%,0.61,112.91,Yes,1.82,Jan 17 AMC,98.00%,7.32M,117.32,2.70,0.73%,-1.89%,-15.92%,"4,429,977",3.91%
ICE,S&P; 500,23.97,3.16,0.20%,586.83M,1.91%,44.41B,19.35,3.91,-27.12%,559.16M,-6.73%,1.84B,1.69,0.91,92.00%,1.14%,1.08%,4.82B,9.22,24.10%,-0.21%,2.01,4.09%,29.43,2.57,9.92%,3.20%,87.44,6.71%,-,-,14.21%,15.40%,66.92 - 82.65,0.45%,0.96,24.77,14.40%,7.10%,-8.45%,0.60,1.27%,1.00,27.70%,-,13.08%,1.76,4952,1.00,-65.60%,52.00%,49.09,1.96% 2.44%,Yes,0.46,-63.40%,54.10%,1.17,73.98,Yes,0.39,Jan 30 BMO,19.60%,3.18M,75.67,1.90,-0.22%,-1.99%,1.21%,"3,728,374",2.28%
IDXX,S&P; 500,46.12,4.06,1.30%,90.52M,-0.28%,16.97B,40.05,4.68,-6.15%,84.82M,-9.17%,360.70M,2.55,0.90,89.60%,1.49%,-21.70%,2.17B,7.82,34.40%,-0.21%,2.09,-15.51%,-0.02,-,11.61%,21.10%,247.80,15.66%,1.62,115.49,18.09%,-902.50%,162.51 - 256.22,0.76%,-,44.29,15.70%,29.60%,-26.85%,0.86,-,0.70,8.80%,55.90%,15.33%,7.15,7600,0.90,10.90%,21.80%,47.62,3.16% 3.99%,Yes,-,33.40%,15.20%,1.47,178.02,Yes,-,Jan 31 BMO,0.00%,605.10K,187.43,1.80,-0.60%,-5.05%,-13.45%,"888,579",5.29%
IFF,S&P; 500,26.17,5.20,17.60%,109.40M,2.80%,14.89B,20.86,6.53,41.30%,106.42M,-3.99%,414.80M,2.76,1.28,80.50%,3.13%,-0.24%,3.61B,4.12,8.20%,23.27%,3.21,9.34%,49.61,2.74,2.56%,4.80%,148.94,-12.59%,48.21,2.82,9.50%,12.30%,122.11 - 157.40,1.39%,2.92,699.18,12.10%,14.40%,-13.51%,0.86,2.15%,8.20,3.80%,43.30%,11.48%,3.54,7300,9.20,4.00%,16.00%,51.78,2.43% 2.81%,Yes,1.09,-22.80%,7.80%,0.67,131.26,Yes,1.07,Feb 04 AMC,77.70%,1.04M,136.13,2.70,1.98%,-1.88%,1.92%,"694,102",3.71%
ILMN,S&P; 500,53.80,5.63,0.40%,150.45M,1.05%,45.54B,47.49,6.37,-16.48%,146.38M,-13.58%,834.00M,2.36,1.35,91.40%,1.76%,-15.83%,3.24B,14.05,89.40%,-0.63%,2.11,7.91%,23.83,12.70,10.93%,11.70%,361.56,31.42%,22.53,13.44,22.80%,21.90%,207.51 - 372.61,0.92%,-,40.09,39.20%,9.90%,-18.76%,1.17,-,2.20,19.10%,69.50%,45.87%,13.22,6200,2.50,19.50%,28.30%,47.45,3.81% 4.36%,Yes,0.56,21.30%,21.10%,1.12,284.24,Yes,0.25,Jan 22 AMC,0.00%,1.22M,302.69,1.90,-2.06%,-3.55%,0.80%,"1,373,136",6.49%
INCY,S&P; 500,-,-0.52,0.30%,213.43M,15.93%,15.42B,34.14,2.12,-7.32%,211.77M,5.78%,-109.20M,-,0.48,94.10%,2.48%,3.33%,1.80B,8.58,-385.10%,-1.68%,3.21,4.30%,8.48,8.52,92.63%,-4.60%,83.67,-28.43%,6.44,11.22,31.09%,-6.40%,57.00 - 101.97,13.65%,-,172.15,-35.00%,-14.80%,-29.13%,0.95,-,4.00,38.90%,95.90%,26.79%,3.18,1208,4.00,17.90%,-4.70%,67.66,5.08% 4.63%,Yes,0.01,-20.30%,-6.10%,1.79,68.06,Yes,0.01,Jan 29 BMO,-,1.64M,72.27,2.20,12.93%,11.46%,6.23%,"2,928,194",6.19%
INFO,S&P; 500,46.30,1.05,0.20%,406.97M,2.28%,19.86B,19.08,2.56,-90.59%,358.23M,-9.96%,430.20M,4.37,0.55,97.60%,1.66%,-10.46%,3.89B,5.11,120.60%,-0.37%,2.62,-7.24%,20.08,2.43,12.69%,3.80%,59.56,7.94%,0.38,128.63,10.60%,7.10%,43.07 - 55.99,1.73%,-,21.17,7.50%,4.70%,-12.84%,0.84,-,0.40,33.10%,63.20%,13.30%,1.59,13000,0.40,10.60%,16.10%,49.02,2.57% 3.40%,Yes,0.77,-26.80%,14.60%,1.80,46.60,Yes,0.62,Jan 15 BMO,0.00%,2.27M,48.80,2.20,0.11%,-3.41%,-5.21%,"4,091,437",4.72%
INTC,DJIA S&P500;,10.97,4.31,0.05%,4.69B,1.86%,221.69B,10.33,4.57,-0.56%,4.56B,-5.80%,20.28B,1.07,1.22,68.60%,1.40%,-3.16%,69.24B,3.20,46.60%,-1.56%,2.15,-6.96%,15.63,3.02,0.84%,12.00%,54.34,4.33%,2.81,16.81,10.23%,21.60%,42.04 - 57.60,0.62%,1.20,24.74,7.80%,12.40%,-18.02%,0.85,2.54%,1.10,3.30%,62.50%,12.32%,1.73,102700,1.50,18.70%,31.90%,51.86,3.51% 3.52%,Yes,0.39,44.40%,21.90%,1.18,44.49,Yes,0.35,Jan 24 AMC,35.70%,29.78M,47.22,2.60,1.21%,0.47%,-4.74%,"35,183,108",6.14%
INTU,S&P; 500,39.36,4.98,0.10%,263.85M,-0.63%,51.71B,26.69,7.34,-77.30%,248.98M,-8.21%,1.31B,2.71,0.87,89.70%,1.41%,-15.27%,6.09B,8.49,29.10%,1.47%,1.87,-4.42%,10.70,18.32,12.93%,24.30%,227.81,23.15%,5.05,38.82,14.55%,55.40%,150.43 - 231.84,-0.43%,1.88,32.46,12.50%,38.40%,-15.46%,1.18,0.96%,1.40,8.60%,83.10%,30.29%,7.18,8900,1.40,11.60%,25.30%,47.03,2.78% 3.67%,Yes,0.15,-,20.70%,0.92,188.52,Yes,0.13,Nov 19 AMC,31.80%,1.87M,196.00,2.20,-1.28%,-4.26%,-3.67%,"1,728,681",3.97%
IP,S&P; 500,11.01,3.84,0.10%,421.85M,4.66%,17.83B,7.58,5.57,-9.97%,396.97M,-10.67%,1.60B,0.86,1.64,83.70%,2.51%,-12.40%,23.07B,0.77,10.00%,-1.49%,2.37,-19.03%,17.28,2.45,5.01%,-,56.00,-30.22%,2.43,17.38,12.80%,-,37.55 - 66.94,4.71%,2.00,-,5.40%,7.30%,-36.87%,1.41,4.73%,1.10,-0.10%,30.80%,12.54%,1.54,56000,1.60,7.00%,-,50.64,3.49% 3.60%,Yes,1.60,55.80%,-,0.72,40.36,Yes,1.52,Jan 24 BMO,-,4.21M,42.26,2.30,1.11%,-3.65%,-15.85%,"3,018,009",4.71%
IPG,S&P; 500,14.15,1.47,0.30%,392.14M,1.57%,8.13B,11.49,1.80,-5.14%,381.84M,-12.72%,573.30M,1.89,0.80,-,5.38%,-11.18%,9.20B,0.88,-8.40%,-0.66%,3.88,-7.46%,5.59,3.71,3.68%,4.80%,25.46,4.91%,-,-,7.50%,28.60%,19.60 - 26.01,0.48%,0.84,35.27,7.80%,17.60%,-20.30%,1.08,4.05%,1.20,2.50%,-,5.77%,0.64,50200,1.20,4.00%,11.00%,41.22,1.85% 3.15%,Yes,1.56,-3.00%,6.60%,0.72,20.40,Yes,1.53,Jan 18 BMO,51.00%,5.30M,20.73,2.60,-4.05%,-9.03%,-9.70%,"3,836,062",1.62%
IPGP,S&P; 500,14.64,7.83,0.40%,54.44M,-0.36%,6.25B,15.93,7.20,-14.56%,35.69M,-22.58%,430.80M,2.25,1.41,61.00%,10.62%,-27.12%,1.49B,4.19,49.70%,0.31%,4.88,-48.51%,41.18,2.79,-2.58%,15.30%,170.80,-50.81%,20.61,5.57,6.50%,17.90%,104.64 - 264.11,1.26%,-,27.38,20.80%,19.10%,-56.56%,1.80,-,6.80,20.20%,56.50%,9.63%,6.32,5030,8.60,-9.20%,38.60%,42.04,4.96% 5.34%,Yes,0.02,-13.00%,25.60%,0.37,108.60,Yes,0.02,Jan 29 BMO,0.00%,775.81K,114.72,2.20,-2.47%,-11.54%,-38.48%,"285,794",5.64%
IQV,S&P; 500,92.95,1.24,0.50%,204.82M,2.39%,23.57B,18.38,6.26,-,172.27M,-9.66%,262.00M,5.99,1.47,92.40%,2.36%,-11.72%,10.30B,2.29,97.10%,-1.57%,2.84,14.61%,35.66,3.23,13.31%,5.60%,141.11,15.63%,4.29,26.81,15.53%,16.50%,91.57 - 135.48,-0.95%,-,36.43,-0.20%,3.90%,-15.06%,0.89,-,1.10,14.90%,35.80%,25.66%,4.09,55000,1.10,5.20%,7.20%,48.57,3.51% 3.42%,Yes,1.47,-60.30%,12.30%,0.91,109.96,Yes,1.46,Oct 22 BMO,0.00%,1.43M,115.07,1.90,-0.48%,-3.27%,1.72%,"1,297,551",4.65%
IR,S&P; 500,14.79,6.29,0.10%,253.20M,2.05%,23.57B,14.73,6.32,-45.59%,244.68M,-11.86%,1.58B,0.96,1.29,84.20%,1.31%,-10.83%,15.39B,1.53,-8.20%,-0.60%,1.79,2.92%,29.66,3.14,13.07%,8.40%,112.11,3.50%,4.04,23.05,15.36%,21.80%,79.63 - 107.08,2.05%,2.12,30.94,15.30%,14.00%,-13.06%,1.25,2.28%,1.00,3.40%,31.20%,16.92%,2.88,46000,1.40,9.80%,12.10%,47.17,2.29% 3.21%,Yes,0.56,49.20%,10.00%,1.07,90.03,Yes,0.51,Jan 23 BMO,30.20%,1.79M,93.10,2.00,-0.94%,-4.53%,-1.17%,"1,907,200",3.41%
IRM,S&P; 500,39.69,0.84,0.92%,300.14M,3.17%,9.96B,27.88,1.19,-0.24%,280.28M,-2.12%,238.60M,-,0.26,90.50%,8.77%,-1.57%,4.16B,2.40,69.30%,-3.95%,11.56,-7.01%,6.77,4.90,9.27%,2.00%,37.40,-10.57%,0.66,50.37,-0.97%,10.70%,30.22 - 37.28,2.38%,2.44,61.74,-6.20%,5.70%,-11.00%,0.70,7.35%,1.00,5.10%,57.40%,9.79%,0.95,24000,1.00,9.90%,16.60%,53.49,2.32% 3.08%,Yes,4.30,187.50%,5.50%,0.80,32.61,Yes,4.23,Jan 24 BMO,293.00%,2.12M,33.18,2.70,-0.11%,1.20%,-2.29%,"1,693,594",1.75%
ISRG,S&P; 500,48.25,9.78,0.60%,117.12M,0.64%,55.24B,37.13,12.70,-22.67%,113.11M,-14.07%,1.14B,3.16,3.04,89.80%,1.72%,-15.99%,3.57B,15.47,34.70%,0.37%,2.12,-3.22%,55.09,8.56,14.60%,12.10%,584.44,22.89%,26.78,17.62,15.27%,14.20%,375.09 - 581.12,-1.51%,-,55.21,9.60%,19.60%,-18.83%,1.14,-,5.50,7.50%,70.10%,25.75%,19.00,4444,6.00,14.00%,33.50%,46.51,3.17% 3.92%,Yes,0.00,0.10%,22.30%,0.98,450.24,Yes,0.00,Jan 17 AMC,0.00%,919.66K,471.68,2.00,-2.03%,-5.25%,-4.80%,"900,531",4.76%
ITW,S&P; 500,17.03,7.47,0.10%,346.00M,0.98%,44.00B,15.71,8.09,-32.40%,331.04M,-8.79%,2.54B,1.45,1.82,78.60%,1.42%,-11.50%,14.82B,2.97,18.70%,-0.67%,2.46,-9.72%,10.63,11.96,6.47%,11.80%,136.94,-23.37%,4.59,27.69,11.70%,46.80%,117.75 - 179.07,0.39%,4.00,34.43,7.50%,19.90%,-28.98%,1.18,3.15%,1.30,-0.70%,41.70%,8.01%,3.89,50000,1.60,-0.10%,24.10%,48.41,2.27% 3.23%,Yes,2.09,2.90%,12.70%,0.74,123.45,Yes,1.71,Jan 23 BMO,55.80%,1.92M,127.18,2.80,-0.40%,-2.30%,-9.74%,"1,412,524",3.02%
IVZ,S&P; 500,6.81,2.54,0.50%,418.93M,3.29%,7.23B,6.58,2.62,0.00%,405.21M,-16.42%,1.05B,1.49,0.64,87.20%,3.56%,-25.15%,5.43B,1.33,18.10%,0.69%,2.24,-34.97%,21.69,0.80,0.00%,3.70%,23.04,-52.75%,3.89,4.43,4.56%,13.30%,15.38 - 38.43,3.11%,1.20,24.22,10.90%,5.60%,-55.09%,1.50,6.95%,-,4.90%,70.10%,12.22%,0.71,7410,-,0.30%,24.30%,44.24,3.50% 4.38%,Yes,0.85,-0.20%,21.70%,0.78,16.43,Yes,0.85,Jan 17 BMO,41.30%,6.45M,17.26,2.40,0.86%,-10.85%,-30.46%,"5,041,513",5.05%
JBHT,S&P; 500,13.11,7.12,2.30%,111.86M,-0.47%,10.44B,14.74,6.33,-1.46%,86.61M,-11.09%,787.80M,0.59,1.51,76.40%,2.50%,-22.62%,8.29B,1.26,65.70%,-0.14%,2.28,-23.14%,19.04,4.90,17.11%,17.30%,126.05,-20.12%,0.07,1374.11,22.20%,39.80%,88.38 - 131.74,0.34%,0.96,411.15,19.60%,25.00%,-29.13%,1.00,1.03%,-,7.30%,18.40%,5.63%,3.00,24681,1.10,19.90%,8.50%,41.54,2.52% 3.22%,Yes,0.51,31.10%,9.50%,0.86,90.89,Yes,0.39,Jan 17 BMO,13.20%,950.82K,93.36,2.30,-1.59%,-8.93%,-19.86%,"821,549",2.72%
JCI,S&P; 500,12.81,2.44,0.20%,955.17M,5.05%,29.81B,9.95,3.14,0.00%,921.79M,-10.93%,2.27B,1.38,0.57,95.00%,1.21%,-12.80%,31.40B,0.95,39.10%,-2.01%,1.87,-8.80%,22.88,1.36,5.83%,4.40%,37.92,-19.89%,0.23,134.89,9.26%,10.40%,28.30 - 41.53,5.26%,1.04,55.41,19.70%,9.10%,-24.85%,0.94,3.33%,0.80,25.60%,29.90%,10.30%,1.08,122000,1.10,2.90%,10.60%,50.00,3.10% 3.54%,Yes,0.52,-22.20%,6.90%,1.07,30.01,Yes,0.46,Feb 07 BMO,44.50%,5.95M,31.21,2.70,0.26%,-3.69%,-10.39%,"6,381,714",4.00%
JEC,S&P; 500,19.96,2.98,0.50%,144.09M,2.02%,8.58B,10.28,5.79,0.00%,141.62M,-9.79%,421.00M,1.65,1.07,87.40%,2.04%,-23.32%,14.98B,0.57,25.50%,-0.07%,1.95,-7.66%,41.16,1.45,10.85%,1.30%,83.60,-11.30%,5.51,10.81,12.12%,2.80%,55.17 - 82.24,1.81%,0.60,21.73,-1.20%,6.30%,-27.63%,1.33,1.01%,1.40,4.90%,18.90%,7.88%,2.01,74400,1.40,56.10%,4.20%,45.03,2.53% 3.32%,Yes,0.37,39.80%,1.10%,0.78,57.30,Yes,0.37,Nov 20 BMO,52.20%,1.48M,59.52,1.80,1.66%,-11.03%,-11.05%,"1,158,569",3.87%
JEF,S&P; 500,14.44,1.26,7.50%,330.96M,4.25%,6.01B,10.38,1.75,-,285.73M,-15.96%,443.60M,0.80,0.26,79.30%,3.13%,-18.30%,7.06B,0.85,393.40%,0.55%,3.37,-19.67%,31.11,0.58,-44.97%,2.40%,32.00,-31.92%,17.55,1.04,18.00%,11.20%,16.20 - 28.30,4.67%,0.50,-,-14.20%,2.80%,-35.80%,1.23,2.75%,-,6.70%,54.30%,12.16%,0.69,12700,0.70,32.30%,5.20%,46.65,3.34% 4.04%,Yes,2.08,92.90%,16.50%,0.57,17.36,Yes,2.05,Jan 24 AMC,12.70%,2.65M,18.17,1.00,1.53%,-8.74%,-18.68%,"1,509,867",4.67%
JNJ,DJIA S&P500;,23.99,5.33,0.07%,2.80B,0.33%,357.49B,14.83,8.62,-21.61%,2.68B,-12.57%,14.54B,3.09,1.95,68.60%,0.62%,-8.06%,81.38B,4.39,-12.20%,0.53%,1.70,2.26%,24.09,5.31,5.55%,1.00%,148.17,-9.06%,6.92,18.46,7.76%,2.50%,118.62 - 148.99,-0.95%,3.60,39.15,6.20%,15.10%,-14.20%,0.71,2.82%,1.40,2.60%,66.50%,7.76%,3.63,134000,1.70,3.60%,21.40%,38.77,1.75% 2.95%,Yes,0.48,4.90%,1.90%,0.89,125.72,Yes,0.46,Jan 22 BMO,526.10%,9.83M,127.83,2.30,-4.87%,-8.32%,-3.24%,"8,746,802",1.68%
JNPR,S&P; 500,18.66,1.45,1.38%,354.20M,0.75%,9.56B,13.24,2.04,-3.47%,340.41M,-7.91%,516.10M,1.38,0.57,95.90%,4.41%,-9.24%,4.71B,2.03,1.40%,-0.70%,3.43,-2.91%,13.43,2.01,9.33%,2.40%,28.20,-6.28%,9.57,2.82,13.55%,5.00%,23.61 - 30.80,0.33%,0.72,20.15,34.30%,9.30%,-12.34%,0.78,2.67%,2.40,2.90%,59.10%,14.36%,0.82,9381,2.50,-6.20%,12.30%,46.17,2.28% 2.96%,Yes,0.46,47.50%,4.80%,0.63,26.00,Yes,0.38,Jan 29 AMC,94.40%,4.38M,27.00,2.90,-0.92%,-3.99%,-1.09%,"2,777,428",3.85%
JPM,DJIA S&P500;,11.68,8.62,0.10%,3.40B,3.76%,342.21B,10.00,10.07,-0.86%,3.30B,-10.29%,29.75B,1.21,2.25,74.90%,0.61%,-12.47%,73.40B,4.66,10.50%,-0.53%,1.11,-2.92%,68.48,1.47,8.59%,1.10%,120.07,-6.82%,329.23,0.31,9.68%,12.10%,91.11 - 119.33,3.14%,3.20,19.23,5.60%,6.90%,-15.62%,1.15,3.18%,-,2.80%,-,10.51%,3.00,255313,-,18.90%,66.90%,50.19,2.61% 3.15%,Yes,1.17,33.10%,37.90%,0.92,97.11,Yes,1.17,Jan 15 BMO,27.60%,18.26M,100.69,2.20,1.64%,-3.91%,-8.31%,"16,851,118",3.69%
JWN,S&P; 500,15.86,2.96,11.20%,167.82M,0.66%,7.88B,12.43,3.78,-2.71%,113.22M,-11.63%,504.00M,1.69,1.48,64.30%,16.43%,-20.77%,16.08B,0.49,40.70%,8.60%,6.43,-11.58%,7.13,6.59,4.77%,5.60%,60.12,-3.45%,6.72,6.99,9.41%,42.60%,43.70 - 67.75,0.77%,1.48,13.76,-4.40%,16.60%,-30.67%,0.71,3.15%,0.40,5.00%,36.10%,7.48%,1.75,75000,1.10,3.30%,5.30%,36.42,3.37% 3.79%,Yes,2.23,-42.50%,2.90%,0.99,47.00,Yes,2.23,Nov 15 AMC,53.20%,2.89M,46.97,2.80,-1.60%,-14.32%,-13.10%,"2,849,645",-0.06%
K,S&P; 500,10.77,5.32,18.80%,358.34M,0.28%,20.53B,13.28,4.31,-1.66%,344.58M,-9.22%,1.85B,3.27,0.89,89.30%,3.69%,-16.56%,13.44B,1.53,85.50%,-2.09%,4.53,-19.90%,8.78,6.53,0.12%,10.70%,67.68,-15.30%,0.86,66.45,3.30%,69.70%,55.11 - 74.98,0.51%,2.24,113.44,6.40%,14.20%,-23.58%,0.56,3.91%,0.50,-1.90%,36.60%,3.97%,1.32,33000,0.80,6.90%,15.20%,36.97,1.70% 2.42%,Yes,2.93,31.60%,13.80%,0.67,56.74,Yes,2.86,Jan 30 BMO,40.90%,2.81M,57.30,2.80,-2.63%,-8.30%,-13.52%,"1,896,959",0.99%
KEY,S&P; 500,9.99,1.56,0.30%,1.07B,6.57%,16.68B,8.16,1.91,-9.85%,1.03B,-15.51%,1.66B,1.05,0.47,82.10%,1.30%,-22.64%,4.70B,3.55,56.40%,-1.60%,1.02,-20.39%,13.27,1.17,10.35%,1.10%,21.11,-23.02%,1.83,8.52,9.50%,10.90%,13.65 - 22.40,5.41%,0.68,20.44,7.70%,10.80%,-30.45%,1.17,4.36%,-,10.20%,-,14.10%,0.55,18415,-,11.70%,76.90%,47.56,2.70% 3.81%,Yes,1.01,39.10%,32.40%,0.67,15.07,Yes,1.01,Jan 17 BMO,34.50%,13.13M,15.58,2.10,2.07%,-8.13%,-19.77%,"8,759,359",3.38%
KEYS,S&P; 500,-,-0.70,0.60%,191.29M,4.21%,11.85B,14.60,4.24,-18.83%,186.71M,-0.74%,-129.00M,-,0.80,87.90%,1.64%,-6.29%,3.88B,3.06,-220.50%,-1.51%,1.27,4.12%,13.01,4.76,12.51%,2.80%,75.38,44.91%,-,-,18.35%,6.60%,42.13 - 70.40,-0.21%,-,28.02,-17.60%,-1.50%,-12.00%,1.08,-,1.20,6.10%,54.90%,47.04%,2.07,12900,1.60,19.20%,-8.90%,56.35,3.52% 3.33%,Yes,0.74,-185.30%,4.30%,0.72,58.32,Yes,0.53,Nov 20 AMC,0.00%,2.41M,61.95,1.40,3.70%,4.75%,5.07%,"1,736,418",6.22%
KHC,S&P; 500,15.77,2.82,0.14%,1.26B,1.67%,56.18B,11.93,3.73,-92.07%,621.98M,-13.48%,3.46B,2.50,0.96,86.50%,3.35%,-19.98%,26.25B,2.14,15.70%,-2.12%,2.91,-30.43%,53.64,0.83,3.13%,8.60%,59.82,-42.23%,1.08,41.13,6.32%,15.80%,41.60 - 80.67,3.37%,2.50,-,31.90%,5.40%,-44.85%,0.69,5.62%,0.60,17.90%,36.20%,6.95%,1.30,39000,1.00,1.60%,20.80%,38.29,2.67% 3.09%,Yes,0.50,-27.30%,39.60%,0.90,43.31,Yes,0.47,Jan 31 AMC,29.30%,7.15M,44.49,2.40,-3.16%,-11.54%,-21.97%,"6,417,111",2.72%
KIM,S&P; 500,28.07,0.53,0.10%,433.47M,-1.46%,6.42B,23.08,0.64,2.48%,409.51M,-10.78%,222.40M,6.10,0.15,90.10%,3.77%,-6.44%,1.20B,5.37,12.80%,0.98%,3.70,-12.00%,12.83,1.16,-37.30%,4.30%,17.15,-17.67%,0.34,43.88,4.60%,9.10%,13.16 - 18.00,1.16%,1.12,37.09,31.00%,3.10%,-17.67%,0.47,7.56%,-,8.60%,72.20%,12.61%,0.45,546,-,-4.00%,31.90%,41.56,2.81% 3.19%,Yes,0.91,-12.30%,40.90%,0.65,14.55,Yes,0.91,Jan 31 BMO,96.20%,4.17M,14.82,2.80,-4.83%,-5.66%,-6.07%,"2,705,322",1.86%
KLAC,S&P; 500,10.77,8.48,0.30%,161.44M,3.40%,14.74B,10.01,9.12,-9.85%,152.75M,-9.74%,1.33B,1.08,2.20,96.10%,3.42%,-11.20%,4.16B,3.54,28.90%,-1.14%,2.74,-11.73%,10.10,9.04,2.20%,16.50%,120.62,-14.97%,17.25,5.29,9.94%,63.40%,80.65 - 123.96,2.02%,3.00,19.95,18.80%,33.00%,-26.35%,1.46,3.29%,2.70,7.30%,64.60%,13.21%,3.70,6550,3.40,12.80%,38.90%,51.82,3.92% 4.05%,Yes,0.00,49.70%,22.00%,0.88,85.81,Yes,1.43,Jan 28 AMC,45.40%,1.91M,91.30,2.00,1.88%,-0.78%,-12.13%,"1,686,802",6.40%
KMB,S&P; 500,23.84,4.69,0.37%,375.79M,-0.88%,42.04B,16.54,6.77,-1.57%,345.03M,-1.16%,1.65B,4.98,1.66,75.30%,2.87%,-0.59%,18.50B,2.27,3.30%,-2.66%,4.33,4.79%,-0.38,-,1.59%,10.80%,106.06,-4.44%,1.31,85.11,4.79%,855.00%,97.10 - 123.50,-1.81%,4.00,56.28,9.60%,30.20%,-9.41%,0.54,3.58%,0.50,-1.30%,31.30%,15.22%,3.16,42000,0.80,-1.80%,13.00%,49.45,2.16% 2.89%,Yes,-,-14.40%,8.70%,0.99,110.64,Yes,-,Oct 22 BMO,85.20%,2.29M,111.88,3.30,-1.41%,0.98%,2.69%,"2,257,407",1.12%
KMI,S&P; 500,-,-0.57,0.30%,2.34B,4.71%,37.94B,15.63,1.04,7.77%,1.90B,-6.13%,-1287.00M,-,0.25,63.20%,2.22%,-10.96%,14.00B,2.71,-319.80%,1.13%,2.52,-7.62%,15.19,1.07,14.05%,-0.10%,21.65,-14.35%,1.48,10.97,12.00%,-0.10%,14.62 - 19.83,5.59%,0.80,16.75,-21.70%,0.30%,-18.10%,0.67,4.93%,1.00,6.60%,49.40%,11.08%,0.55,10897,1.10,7.20%,22.40%,53.63,3.22% 3.48%,Yes,1.12,109.90%,-0.30%,0.72,15.71,Yes,1.05,Jan 16 AMC,-,16.81M,16.24,1.80,2.60%,-1.94%,-4.28%,"12,024,472",3.37%
KMX,S&P; 500,15.43,4.12,0.40%,174.36M,0.68%,11.09B,12.53,5.08,-25.59%,173.74M,-3.14%,742.40M,1.04,1.06,-,6.69%,-13.47%,17.75B,0.62,12.30%,-1.49%,6.35,-16.42%,19.75,3.22,7.89%,3.90%,81.71,-4.97%,0.21,298.95,14.80%,20.50%,55.24 - 81.67,1.40%,-,-,14.40%,4.10%,-22.11%,1.44,-,0.50,9.30%,13.50%,15.15%,2.08,25110,2.40,8.60%,5.90%,52.21,2.46% 3.62%,Yes,3.90,26.20%,3.90%,0.69,61.89,Yes,3.78,Dec 21 BMO,0.00%,1.83M,63.61,1.80,3.27%,-1.43%,-8.12%,"1,254,337",2.78%
KO,DJIA S&P500;,30.40,1.57,0.10%,4.41B,0.08%,209.58B,21.46,2.22,-14.97%,4.22B,-4.27%,6.72B,4.52,0.43,68.10%,0.70%,3.71%,32.31B,6.49,-26.40%,0.47%,2.00,6.52%,4.29,11.09,6.38%,3.10%,51.66,4.69%,4.28,11.12,6.72%,15.10%,41.45 - 50.84,0.46%,1.56,314.68,-11.00%,12.50%,-6.43%,0.57,3.28%,1.00,-5.90%,63.70%,14.76%,1.02,61800,1.10,-9.20%,39.60%,47.20,1.71% 2.21%,Yes,2.45,56.80%,8.60%,0.87,46.64,Yes,1.40,Jan 29 BMO,229.80%,14.73M,47.57,2.30,-1.21%,-1.82%,4.61%,"12,871,836",1.99%
