,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
AGN,S&P; 500,-,-0.58,0.27%,341.55M,7.46%,48.69B,8.71,16.38,1.30%,336.24M,-9.82%,-205.90M,-,4.12,88.30%,1.01%,-26.31%,16.03B,3.04,-543.10%,0.69%,1.31,-17.21%,207.99,0.69,-0.77%,2.00%,211.11,-16.20%,3.54,40.25,6.01%,3.10%,125.84 - 197.00,6.67%,2.88,10.16,7.18%,-2.10%,-27.63%,1.28,2.02%,0.80,21.90%,86.40%,13.29%,4.82,17800,0.90,-3.00%,16.30%,47.88,3.19% 3.52%,Yes,0.33,99.10%,13.80%,1.07,136.07,Yes,0.32,Jan 29 BMO,42.60%,2.58M,142.57,2.00,0.10%,-8.18%,-15.52%,"2,756,642",4.78%
AIG,S&P; 500,55.65,0.72,0.07%,886.31M,2.16%,35.61B,8.32,4.83,0.00%,883.82M,-6.95%,699.00M,1.80,0.55,92.30%,2.14%,-24.57%,47.65B,0.75,194.50%,-0.46%,2.22,-25.48%,65.44,0.61,106.81%,-1.20%,53.60,-33.21%,3.09,12.99,30.91%,-9.80%,36.16 - 65.05,1.95%,1.28,-,-20.20%,1.90%,-38.23%,1.38,3.19%,-,-7.10%,-,11.12%,1.46,49800,-,-2.60%,6.30%,52.93,2.71% 4.12%,Yes,0.59,28.80%,-12.70%,0.56,38.75,Yes,0.59,Jan 30 AMC,-,8.53M,40.18,2.20,4.88%,-2.39%,-20.53%,"4,811,097",3.69%
AIV,S&P; 500,-,-0.15,0.20%,163.61M,-1.49%,7.01B,306.21,0.14,-9.29%,154.10M,-9.00%,-23.70M,-,0.04,-,1.89%,-1.70%,995.60M,7.04,-135.80%,0.72%,1.94,1.40%,12.77,3.36,-96.66%,14.60%,46.50,-1.47%,0.35,120.93,7.10%,55.60%,37.97 - 47.66,-2.30%,1.52,43.97,37.90%,3.70%,-10.05%,0.50,3.55%,-,1.00%,65.70%,12.90%,1.10,1350,-,-4.80%,16.80%,40.00,2.33% 2.73%,Yes,1.82,-128.60%,91.70%,1.16,42.72,Yes,1.82,Jan 31 AMC,25.70%,1.50M,42.87,2.60,-4.98%,-4.65%,0.31%,"1,742,458",0.35%
AIZ,S&P; 500,14.43,6.27,0.50%,64.04M,2.88%,5.79B,10.57,8.55,-87.38%,53.64M,-7.04%,352.40M,0.74,0.84,95.10%,4.02%,-15.95%,7.42B,0.78,-32.10%,-2.31%,4.30,-13.89%,81.99,1.10,41.39%,1.40%,130.50,-9.10%,20.40,4.43,19.40%,11.00%,82.31 - 111.43,1.13%,2.40,13.97,1.80%,7.30%,-18.83%,0.64,2.65%,-,-5.50%,-,9.89%,2.38,14750,-,43.10%,7.20%,49.70,1.84% 2.82%,Yes,0.38,172.00%,7.10%,0.61,88.66,Yes,0.38,Feb 05 AMC,23.40%,502.24K,90.45,2.20,1.45%,-4.80%,-8.42%,"308,037",2.02%
AJG,S&P; 500,19.98,3.62,0.10%,189.16M,0.04%,13.68B,18.43,3.92,-17.37%,181.58M,-7.23%,670.20M,1.36,0.52,87.70%,1.24%,-3.71%,6.88B,1.99,18.20%,-0.14%,1.99,9.43%,24.79,2.92,14.27%,3.90%,80.33,15.45%,3.20,22.61,14.67%,14.00%,62.64 - 79.03,-1.87%,1.64,39.99,11.50%,9.00%,-8.49%,0.94,2.27%,1.10,19.60%,28.50%,15.45%,1.74,26800,1.10,11.60%,9.50%,46.52,1.84% 2.32%,Yes,0.78,13.30%,9.00%,1.02,70.54,Yes,0.69,Jan 24 AMC,46.90%,1.14M,72.32,2.20,-1.20%,-3.41%,1.53%,"1,159,270",2.52%
AKAM,S&P; 500,40.48,1.47,0.10%,166.97M,-3.68%,9.91B,14.65,4.05,-57.39%,157.97M,-15.46%,249.50M,2.46,1.00,92.20%,5.45%,-14.92%,2.66B,3.72,-21.10%,-0.70%,4.13,-20.12%,19.02,3.12,14.20%,4.40%,84.06,-9.95%,10.79,5.50,16.45%,6.70%,57.18 - 83.08,-2.78%,-,13.43,4.70%,6.10%,-28.53%,0.68,-,2.00,12.70%,64.70%,3.85%,2.14,7650,2.00,7.20%,10.10%,35.93,2.91% 3.39%,Yes,0.49,71.90%,8.40%,1.22,57.70,Yes,0.27,Jan 28 AMC,0.00%,2.09M,59.38,2.20,-6.70%,-10.67%,-17.61%,"2,551,446",2.91%
ALB,S&P; 500,11.07,6.89,0.10%,108.69M,-1.27%,8.29B,12.33,6.18,-5.40%,105.72M,-22.57%,760.30M,0.87,1.47,97.50%,11.64%,-26.72%,3.31B,2.50,8.30%,1.46%,8.16,-19.56%,32.88,2.32,14.01%,4.60%,120.39,-42.15%,5.90,12.92,12.70%,9.40%,71.89 - 138.67,-1.08%,1.34,-,4.30%,10.40%,-45.02%,1.62,1.76%,1.20,4.00%,36.40%,6.05%,3.56,5400,1.80,3.00%,27.60%,34.46,4.06% 4.26%,Yes,0.48,14.50%,10.40%,1.39,72.69,Yes,0.40,Feb 06 AMC,41.20%,1.51M,76.24,2.00,-6.82%,-17.42%,-20.11%,"2,089,538",4.88%
ALGN,S&P; 500,40.94,4.56,0.30%,82.23M,-11.65%,15.35B,31.97,5.84,-25.81%,72.65M,-20.78%,372.20M,1.67,1.16,80.60%,3.83%,-50.25%,1.85B,8.28,65.70%,-1.21%,1.83,-45.31%,14.89,12.54,19.89%,16.90%,317.36,-19.24%,7.36,25.37,24.46%,26.70%,183.62 - 398.88,-10.85%,-,64.75,40.40%,26.70%,-53.19%,1.84,-,1.90,21.30%,74.60%,1.68%,10.61,8715,2.00,31.10%,24.60%,35.13,5.32% 5.00%,Yes,0.00,40.70%,16.90%,1.65,184.78,Yes,0.00,Jan 23 AMC,0.00%,1.52M,186.71,1.70,-10.56%,-16.57%,-38.48%,"2,514,951",1.04%
ALK,S&P; 500,14.63,4.10,0.10%,127.07M,-1.22%,7.62B,9.46,6.34,-4.82%,122.79M,-17.63%,507.00M,1.87,0.64,95.00%,7.53%,-10.03%,8.16B,0.93,-7.00%,4.49%,4.97,-3.44%,30.77,1.95,45.48%,7.20%,81.87,-19.64%,10.99,5.46,7.82%,22.00%,57.28 - 75.46,-1.40%,1.28,7.93,22.60%,13.40%,-20.49%,0.86,2.13%,0.70,11.20%,54.40%,4.75%,2.44,20183,0.70,4.80%,9.30%,43.02,3.73% 3.74%,Yes,0.54,-16.00%,9.60%,1.24,58.12,Yes,0.44,Jan 24 BMO,19.70%,1.86M,60.00,2.10,-3.39%,-7.29%,-5.82%,"2,307,404",3.23%
ALL,S&P; 500,9.44,8.76,0.10%,355.94M,1.08%,29.43B,9.11,9.07,-13.41%,343.36M,-6.86%,3.13B,0.64,1.49,79.80%,1.32%,-16.34%,40.20B,0.73,49.50%,0.59%,2.06,-10.08%,61.65,1.34,7.60%,3.20%,103.57,-18.94%,1.29,63.97,14.85%,17.30%,77.00 - 104.47,0.05%,1.84,7.26,8.30%,9.90%,-20.87%,0.85,2.23%,-,2.90%,-,7.36%,2.11,42460,-,8.10%,10.60%,48.89,1.57% 2.67%,Yes,0.30,36.50%,9.00%,1.39,80.30,Yes,0.30,Feb 06 AMC,16.10%,2.20M,82.67,2.30,1.30%,-5.24%,-12.07%,"3,061,360",2.95%
